Unité;USD;JPY;DKK;GBP;SEK;CHF;ISK;NOK;BGN;CYP;CZK;EEK;HUF;LTL;LVL;MTL;PLN;RON;SIT;SKK;TRY;AUD;CAD;HKD;NZD;SGD;KRW;ZAR;CNY;PHP;MYR;THB;RUB;IDR;HRK;BRL;MXN;INR;ILS
23/02/1999;1,09690;133,14000;7,43440;0,67960;8,90850;1,59540;79,36000;8,67450;ND;0,57988;37,84700;15,64660;249,90000;4,38040;0,63870;0,43340;4,24080;1,37980;190,05790;43,84600;0,38570;1,71450;1,64230;8,48200;2,03900;1,88530;1326,17000;6,83150;ND;42,69200;4,15960;41,10410;25,11130;9687,67000;ND;ND;10,86990;ND;ND
24/02/1999;1,10370;133,86000;7,43450;0,68830;8,91150;1,59400;79,54000;8,65400;ND;0,57991;37,99200;15,64660;252,23000;4,41580;0,64410;0,43110;4,28130;1,40680;190,31670;43,96000;0,38810;1,74650;1,65820;8,54950;2,07680;1,90460;1343,45000;6,78710;ND;43,09000;4,19300;41,43460;25,40700;9710,38000;ND;ND;10,96280;ND;ND
25/02/1999;1,10310;132,87000;7,43460;0,68880;8,97400;1,59050;79,49000;8,69650;ND;0,58001;37,99400;15,64660;252,56000;4,41600;0,64510;0,43390;4,30510;1,41690;190,29260;43,92000;0,38850;1,75660;1,65430;8,54660;2,09020;1,90630;1350,69000;6,82540;ND;43,01800;4,19330;41,40890;25,40810;9752,19000;ND;ND;10,98540;ND;ND
26/02/1999;1,10180;131,33000;7,43440;0,68730;9,00250;1,58900;79,55000;8,69650;ND;0,58001;37,90800;15,64660;253,91000;4,41080;0,64320;0,43310;4,34820;1,40750;190,46980;43,95800;0,38810;1,78190;1,66840;8,53820;2,10710;1,89650;1348,55000;6,80640;ND;42,92300;4,18760;41,12860;25,48290;9726,93000;ND;ND;10,98700;ND;ND
01/03/1999;1,09860;131,13000;7,43470;0,68290;9,00050;1,59300;79,16000;8,64750;ND;0,57991;37,57000;15,64660;254,53000;4,39750;0,64130;0,43240;4,30740;1,40790;190,36520;43,84300;0,39020;1,77660;1,65790;8,51390;2,09360;1,89430;1340,17000;6,77160;ND;42,80500;4,17600;40,95780;25,39330;9738,13000;ND;ND;10,85770;ND;ND
02/03/1999;1,08870;131,37000;7,43450;0,67640;8,98500;1,59120;78,93000;8,65200;ND;0,57954;37,58300;15,64660;252,14000;4,35680;0,63720;0,43060;4,32100;1,41170;190,24290;43,72800;0,38860;1,74920;1,66050;8,43540;2,06000;1,88790;1333,01000;6,79160;ND;42,46100;4,13730;40,86630;25,27230;9652,66000;ND;ND;10,82760;ND;ND
03/03/1999;1,08990;132,18000;7,43450;0,67230;8,99000;1,59260;78,87000;8,64750;ND;0,57968;37,55100;15,64660;254,02000;4,35980;0,63730;0,42990;4,33700;1,43160;190,22000;43,64600;0,38930;1,74540;1,66150;8,44160;2,05670;1,89070;1339,26000;6,78830;ND;42,54300;4,13990;41,00730;25,36940;9660,64000;ND;ND;10,86730;ND;ND
04/03/1999;1,08660;133,92000;7,43440;0,67590;8,96000;1,58830;78,96000;8,61550;ND;0,57951;37,51800;15,64660;254,62000;4,34550;0,63830;0,43050;4,30930;1,45590;190,33000;43,57000;0,38900;1,74940;1,66090;8,41760;2,06700;1,88550;1346,04000;6,77980;ND;42,58900;4,12850;40,96750;25,42760;9664,97000;ND;ND;10,80280;ND;ND
05/03/1999;1,08340;133,19000;7,43240;0,67370;8,93550;1,59120;78,77000;8,58000;ND;0,57944;37,28300;15,64660;253,16000;4,33470;0,63720;0,43110;4,24900;1,45060;190,57550;43,87400;0,38990;1,73290;1,64890;8,39590;2,04980;1,87270;1345,31000;6,73420;ND;42,36100;4,11690;40,61130;25,33260;9490,60000;ND;ND;10,70450;ND;ND
08/03/1999;1,09080;132,77000;7,43220;0,67760;8,94800;1,59330;78,80000;8,57850;ND;0,57968;37,60300;15,64660;250,51000;4,35720;0,63890;0,42820;4,25680;1,41600;190,24530;43,94000;0,39150;1,73480;1,65270;8,44900;2,04130;1,88210;1349,46000;6,71190;ND;42,36800;4,13880;40,50480;25,51660;9759,54000;ND;ND;10,74990;ND;ND
09/03/1999;1,08630;132,45000;7,43290;0,67540;8,93800;1,59310;78,69000;8,56050;ND;0,57954;37,96700;15,64660;250,34000;4,34760;0,63870;0,43110;4,27020;1,45730;189,82590;44,55400;0,39190;1,71250;1,64470;8,42090;2,03540;1,88170;1342,52000;6,67800;ND;42,43800;4,12970;40,67160;25,39740;9753,61000;ND;ND;10,59260;ND;ND
10/03/1999;1,09530;131,74000;7,43300;0,67460;8,89250;1,60140;78,76000;8,54350;ND;0,57981;37,94000;15,64660;252,83000;4,38090;0,64160;0,43180;4,31420;1,48300;191,36340;44,38000;0,39390;1,72370;1,66070;8,48510;2,04610;1,89500;1350,15000;6,74980;ND;42,70700;4,15570;41,00970;25,55850;9937,59000;ND;ND;10,68440;ND;ND
11/03/1999;1,08910;131,00000;7,43270;0,66940;8,83100;1,59720;78,35000;8,50100;ND;0,57964;37,83300;15,64660;252,87000;4,35820;0,63930;0,43220;4,30500;1,49510;190,13900;44,47000;0,39330;1,71440;1,65860;8,44180;2,03680;1,89120;1339,97000;6,72790;ND;42,48700;4,13970;40,96150;25,47840;10308,46000;ND;ND;10,63800;ND;ND
12/03/1999;1,09320;130,80000;7,43270;0,66860;8,86150;1,59750;78,59000;8,52850;ND;0,57971;37,99000;15,64660;253,34000;4,37370;0,63940;0,43010;4,29950;1,48180;190,35350;44,85400;0,39570;1,72470;1,66580;8,46930;2,05220;1,89490;1348,53000;6,73140;ND;42,63100;4,15390;40,85480;25,69140;10057,92000;ND;ND;10,64530;ND;ND
15/03/1999;1,09490;128,85000;7,43250;0,67390;8,87850;1,60100;78,65000;8,52750;ND;0,57978;37,85000;15,64660;253,46000;4,37910;0,63970;0,43020;4,31030;1,52120;190,88550;44,65800;0,39670;1,73250;1,67120;8,48670;2,04830;1,87670;1347,46000;6,81060;ND;42,54300;4,16120;40,83250;25,78840;9579,95000;ND;ND;10,61150;ND;ND
16/03/1999;1,09010;128,65000;7,43220;0,67030;8,96900;1,59950;78,45000;8,55150;ND;0,57951;38,05000;15,64660;253,66000;4,35620;0,63950;0,43290;4,31070;1,59310;190,39300;44,25000;0,39620;1,73650;1,66580;8,44140;2,06130;1,87730;1335,97000;6,81850;ND;42,31700;4,13920;40,51450;25,55580;9584,10000;ND;ND;10,53310;ND;ND
17/03/1999;1,09660;130,18000;7,43170;0,67440;8,97800;1,59870;78,77000;8,54000;ND;0,57984;37,96000;15,64660;253,81000;4,38640;0,64450;0,43120;4,30700;1,78250;189,92640;44,54600;0,39810;1,75020;1,66850;8,49730;2,08420;1,89180;1345,41000;6,85920;ND;42,65400;4,16670;40,95440;25,87670;9870,33000;ND;ND;10,61060;ND;ND
18/03/1999;1,10120;129,78000;7,43210;0,67600;8,93800;1,59750;78,82000;8,47900;ND;0,57998;37,99000;15,64660;254,60000;4,40350;0,64710;0,43180;4,31000;1,78910;190,51170;44,64800;0,39910;1,74580;1,67280;8,53290;2,07210;1,89810;1348,73000;6,87020;ND;42,82900;4,18380;41,23800;26,46860;9936,54000;ND;ND;10,64940;ND;ND
19/03/1999;1,09150;127,99000;7,43150;0,67080;8,93700;1,59860;78,48000;8,45150;ND;0,57974;37,94700;15,64660;253,64000;4,36630;0,64270;0,43020;4,26270;1,62090;190,37790;44,62000;0,39920;1,73160;1,65430;8,45900;2,05210;1,88180;1326,42000;6,79100;ND;42,35800;4,14850;40,81140;26,35910;9688,85000;ND;ND;10,53520;ND;ND
22/03/1999;1,08640;128,00000;7,43170;0,66770;8,93250;1,59660;78,31000;8,44450;ND;0,57954;38,14200;15,64660;253,25000;4,34560;0,63840;0,42930;4,28050;1,61870;190,44270;44,70200;0,39850;1,71740;1,64260;8,41950;2,03810;1,87650;1328,46000;6,70550;ND;42,07900;4,12840;40,77990;26,44420;9658,56000;ND;ND;10,56030;ND;ND
